Name,Pirate Squad,Bounty,Gender
Monkey D. Luffy,Straw Hat Pirates,"3,000,000,000",Male
Roronoa Zoro,Straw Hat Pirates,"1,111,000,000",Male
Nami,Straw Hat Pirates,"366,000,000",Female
Usopp,Straw Hat Pirates,"500,000,000",Male
Sanji,Straw Hat Pirates,"1,032,000,000",Male
Tony Tony Chopper,Straw Hat Pirates,"1,000",Male
Nico Robin,Straw Hat Pirates,"930,000,000",Female
Franky,Straw Hat Pirates,"394,000,000",Male
Brook,Straw Hat Pirates,"383,000,000",Male
Jinbe,Straw Hat Pirates,"1,100,000,000",Male
Shanks,Red Hair Pirates,"4,048,900,000",Male
Benn Beckman,Red Hair Pirates,Unknown,Male
Yasopp,Red Hair Pirates,Unknown,Male
Lucky Roux,Red Hair Pirates,Unknown,Male
Marshall D. Teach,Blackbeard Pirates,"3,996,000,000",Male
Shiryu,Blackbeard Pirates,Unknown,Male
Van Augur,Blackbeard Pirates,Unknown,Male
Jesus Burgess,Blackbeard Pirates,Unknown,Male
Doc Q,Blackbeard Pirates,Unknown,Male
Kaido,Beasts Pirates,"4,611,100,000",Male
King,Beasts Pirates,"1,390,000,000",Male
Queen,Beasts Pirates,"1,320,000,000",Male
Jack,Beasts Pirates,"1,000,000,000",Male
Ulti,Beasts Pirates,"400,000,000",Female
Big Mom,Big Mom Pirates,"4,388,000,000",Female
Katakuri,Big Mom Pirates,"1,057,000,000",Male
Smoothie,Big Mom Pirates,"932,000,000",Female
Cracker,Big Mom Pirates,"860,000,000",Male
Perospero,Big Mom Pirates,"700,000,000",Male
Trafalgar Law,Heart Pirates,"3,000,000,000",Male
Bepo,Heart Pirates,500,Male
Eustass Kid,Kid Pirates,"3,000,000,000",Male
Killer,Kid Pirates,"200,000,000",Male
Boa Hancock,Kuja Pirates,"1,659,000,000",Female
Silvers Rayleigh,Roger Pirates,Unknown,Male
Gol D. Roger,Roger Pirates,"5,564,800,000",Male
Kozuki Oden,Roger Pirates,Unknown,Male
Buggy,Cross Guild,"3,189,000,000",Male
Dracule Mihawk,Cross Guild,"3,590,000,000",Male
Crocodile,Cross Guild,"1,965,000,000",Male
Edward Newgate,Whitebeard Pirates,"5,046,000,000",Male
Marco,Whitebeard Pirates,"1,374,000,000",Male
Portgas D. Ace,Whitebeard Pirates,"550,000,000",Male
Jozu,Whitebeard Pirates,Unknown,Male
Vista,Whitebeard Pirates,Unknown,Male
Sabo,Revolutionary Army,"602,000,000",Male
Monkey D. Dragon,Revolutionary Army,Unknown,Male
Emporio Ivankov,Revolutionary Army,Unknown,Male
Koala,Revolutionary Army,Unknown,Female
Jewelry Bonney,Bonney Pirates,"320,000,000",Female
