name,faction,bounty,devil_fruit,fruit_type,gender,age,affiliations,pirate
Monkey D. Luffy,Straw Hat Pirates,3000000000,"Hito Hito no Mi, Model: Nika",Mythical Zoan,Male,19,Straw Hat Pirates; Worst Generation,True
Monkey D. Luffy,Straw Hat Pirates,3000000000,"Hito Hito no Mi, Model: Nika",Mythical Zoan,Male,19,Straw Hat Pirates; Worst Generation,True
Monkey D. Luffy,Straw Hat Pirates,3000000000,"Hito Hito no Mi, Model: Nika",Mythical Zoan,Male,19,Straw Hat Pirates; Worst Generation,True
Monkey D. Luffy,Straw Hat Pirates,3000000000,"Hito Hito no Mi, Model: Nika",Mythical Zoan,Male,19,Straw Hat Pirates; Worst Generation,True
Roronoa Zoro,Straw Hat Pirates,1111000000,,None,Male,21,Straw Hat Pirates,True
Nami,Straw Hat Pirates,366000000,,None,Female,20,Straw Hat Pirates,True
Usopp,Straw Hat Pirates,500000000,,None,Male,19,Straw Hat Pirates,True
Sanji,Straw Hat Pirates,1032000000,,None,Male,21,Straw Hat Pirates,True
Tony Tony Chopper,Straw Hat Pirates,1000,Hito Hito no Mi,Zoan,Male,17,Straw Hat Pirates,True
Tony Tony Chopper,Straw Hat Pirates,1000,Hito Hito no Mi,Zoan,Male,17,Straw Hat Pirates,True
Tony Tony Chopper,Straw Hat Pirates,1000,Hito Hito no Mi,Zoan,Male,17,Straw Hat Pirates,True
Tony Tony Chopper,Straw Hat Pirates,1000,Hito Hito no Mi,Zoan,Male,17,Straw Hat Pirates,True
Nico Robin,Straw Hat Pirates,930000000,Hana Hana no Mi,Paramecia,Female,30,Straw Hat Pirates,True
Franky,Straw Hat Pirates,394000000,,None,Male,36,Straw Hat Pirates,True
Brook,Straw Hat Pirates,383000000,Yomi Yomi no Mi,Paramecia,Male,90,Straw Hat Pirates,True
Jinbe,Straw Hat Pirates,1100000000,,None,Male,46,Straw Hat Pirates,True
Shanks,Red Hair Pirates,4048900000,,None,Male,39,Red Hair Pirates,True
Benn Beckman,Red Hair Pirates,0,,None,Male,50,Red Hair Pirates,True
Lucky Roux,Red Hair Pirates,0,,None,Male,35,Red Hair Pirates,True
Yasopp,Red Hair Pirates,0,,None,Male,47,Red Hair Pirates,True
Marshall D. Teach,Blackbeard Pirates,3996000000,Yami Yami no Mi,Logia,Male,40,Blackbeard Pirates,True
Jesus Burgess,Blackbeard Pirates,0,Riki Riki no Mi,Paramecia,Male,29,Blackbeard Pirates,True
Shiryu,Blackbeard Pirates,0,Suke Suke no Mi,Paramecia,Male,44,Blackbeard Pirates,True
Van Augur,Blackbeard Pirates,0,Wapu Wapu no Mi,Paramecia,Male,27,Blackbeard Pirates,True
Avalo Pizarro,Blackbeard Pirates,0,Shima Shima no Mi,Paramecia,Male,42,Blackbeard Pirates,True
Catarina Devon,Blackbeard Pirates,0,"Inu Inu no Mi, Model: Kyubi no Kitsune",Mythical Zoan,Female,36,Blackbeard Pirates,True
Sanjuan Wolf,Blackbeard Pirates,0,Deka Deka no Mi,Paramecia,Male,99,Blackbeard Pirates,True
Vasco Shot,Blackbeard Pirates,0,Gabu Gabu no Mi,Paramecia,Male,40,Blackbeard Pirates,True
Doc Q,Blackbeard Pirates,0,Shiku Shiku no Mi,Paramecia,Male,28,Blackbeard Pirates,True
Doc Q,Blackbeard Pirates,0,Shiku Shiku no Mi,Paramecia,Male,28,Blackbeard Pirates,True
Doc Q,Blackbeard Pirates,0,Shiku Shiku no Mi,Paramecia,Male,28,Blackbeard Pirates,True
Stronger,Blackbeard Pirates,0,"Uma Uma no Mi, Model: Pegasus",Mythical Zoan,Male,20,Blackbeard Pirates,True
Kuzan,Blackbeard Pirates,0,Hie Hie no Mi,Logia,Male,49,Blackbeard Pirates,True
Kaido,Beasts Pirates,4611100000,"Uo Uo no Mi, Model: Seiryu",Mythical Zoan,Male,59,Beasts Pirates,True
King,Beasts Pirates,1390000000,"Ryu Ryu no Mi, Model: Pteranodon",Ancient Zoan,Male,47,Beasts Pirates,True
Queen,Beasts Pirates,1320000000,"Ryu Ryu no Mi, Model: Brachiosaurus",Ancient Zoan,Male,56,Beasts Pirates,True
Jack,Beasts Pirates,1000000000,"Zou Zou no Mi, Model: Mammoth",Ancient Zoan,Male,28,Beasts Pirates,True
Ulti,Beasts Pirates,400000000,"Ryu Ryu no Mi, Model: Pachycephalosaurus",Ancient Zoan,Female,22,Beasts Pirates,True
